Institución,Título de la tesis,Nombre del tesista,Grado,Nombre del asesor,Resumen,Año
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Modelos de regresión a la media con efectos mixtos para variable respuesta semicontinua,"Bautista Bautista, Luis Alberto",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","En muchas situaciones se dispone de una variable aleatoria continua no negativa con
asimetría positiva que eventualmente podría tomar el valor cero. Datos de esta naturaleza son llamados semicontinuos o cero-inflacionados y fueron tradicionalmente modelados usando el modelo de regresión de dos partes propuesto por Duan et al. (1983). En este modelo la variable respuesta sigue una distribución mixta de probabilidades conformada por una distribución de Bernoulli y una distribución continua no negativa. Una versión longitudinal de este modelo de regresión, pero que apunta a explicar la media de la variable de respuesta, fue propuesto por Smith et al. (2017). Este modelo planteaba, para su componente continua de respuesta, una distribución Log Skew Normal. El objetivo de este trabajo es estudiar un modelo alternativo al de Smith et al. (2017), que llamaremos, en general, un modelo de regresión a la media con efectos mixtos para respuestas semicontinuas, pues plantea una parametrización que permite estimar e interpretar los efectos de un conjunto de covariables sobre la media de las respuestas y no sobre la media condicionada a valores positivos. A diferencia del modelo de Smith et al. (2017), que hace uso de la distribución Log Skew Normal cero-inflacionada, nosotros modelaremos la respuesta con una distribución Gamma Generalizada cero-inflacionada. Este modelamiento, como se muestra, permite capturar de manera flexible ciertas características de los datos de respuesta, tales como, la asimetría y el comportamiento de las colas. Los resultados del estudio de simulación para el nuevo modelo mostraron un adecuado desempeño en la recuperación de sus parámetros, donde para la estimación de estos utilizamos un enfoque bayesiano y el uso de métodos MCMC Hamiltonianos. Por último, los resultados de su aplicación en el estudio longitudinal del efecto que ciertas variables podrán ejercer sobre la media de los gastos en educación de los hogares en el Perú, mostraron un mejor ajuste a los datos respecto al modelo de Smith et al. (2017), en base a los criterios de información ampliamente aplicado y de validación cruzada de Leave-one-out.",2021-09-01
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Modelo de regresión lineal con censura basado en una distribución senh-normal/independiente: una perspectiva frecuentista,"Alonzo Huaman, Max Walter",Magíster en Estadística,"Benites Sánchez, Luis Enrique","In this thesis, the linear regression model for censored data is studied considering a sinhnormal
/ independent distribution for errors from a frequentist approach. This paper considers
the revision of the existing theory, the construction of the new model, estimation of parameters,
simulation studies to retrieve the parameters of the model and the application to a set
of real data.",2021-08-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Inferencia bayesiana en un modelo de regresión cuantílica autorregresivo,"Quintos Choy, Manuel Alejandro",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","El modelo de regresión cuantílica autorregresivo permite modelar el cuantil condicional
de una serie de tiempo a partir de los rezagos de la serie. En el presente trabajo se presenta
la estimación de este modelo desde la perspectiva bayesiana asumiendo que los errores se
distribuyen según la distribución asimétrica de Laplace (ALD). Luego, el proceso de generación de muestras de la distribución a posteriori es simplificado utilizando una representación estocástica de la ALD propuesta por Kotz et al. (2001) y el algoritmo de datos aumentados de Tanner y Wong (1987), siguiendo la propuesta de Kozumi y Kobayashi (2011), así como las adaptaciones para el modelamiento de series de tiempo de Cai et al. (2012) y Liu y Luger (2017). Los estudios de simulación demuestran que el supuesto sobre la distribución del término error no es limitante para estimar el cuantil condicional de series de tiempo con otras distribuciones. El modelo es aplicado en la predicción del Valor en Riesgo (VaR) en la serie de tiempo de los retornos diarios de la tasa de cambio de PEN a USD, y sus resultados son comparados con las predicciones obtenidas por las metodologías RiskMetrics, GARCH(1,1) y CAVIaR. Al respecto, la evidencia numérica permite concluir que el modelo QAR es una alternativa válida para estimar el VaR.",2021-06-14
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Modelo de regresión semiparamétrico robusto,"Esquivel Segura, Henry John",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","El presente trabajo de tesis presenta un modelo de regresión semiparamétrico con errores
t-Student, que permite estudiar el comportamiento de una variable dependiente dado un
conjunto de variables explicativas cuando los supuestos de linealidad y normalidad no se
cumplen. La estimación de los parámetros se realiza bajo el enfoque bayesiano a través del
algoritmo de Gibbs. En el estudio de simulación se observa que el modelo propuesto es más
robusto ante la presencia de valores atípicos que el usual modelo regresión semiparamétrico
normal. Asimismo se presenta una aplicación con datos reales para ilustrar esta característica.",2021-05-11
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo de regresión Dirichlet bayesiano: aplicación para estimar la prevalencia del nivel de anemia infantil en centros poblados del Perú,"Andrade Chávez, Francisco Mauricio",Magíster en Estadística,"Quiroz Cornejo, Zaida Jesús","La anemia es una afección causada por un bajo nivel de hemoglobina en la sangre causada
principalmente por un déficit en el consumo de hierro. En el Perú, es un problema de
salud pública y nutrición principalmente en niñas y niños menores de cinco años, por ello el
Instituto Nacional de Estadística (INEI) realiza una prueba para determinar anemia en niñas
y niños a través de la Encuesta Demográfica y de Salud Familiar (ENDES). En esta encuesta
se clasifica los niveles de anemia como severa si es menor a 7,0 g/dl, moderada si está entre
7,0 y 9,9 g/dl o leve si varía entre 10,0 y 11,9 g/dl. En este contexto, en esta tesis se propone
aplicar el modelo de regresión de Dirichlet para estimar la prevalencia de los niveles de
anemia infantil a nivel de centros poblados en el año 2017. Se propone estimar los parámetros
usando inferencia bayesiana, a través del método Halmitoniano de Monte Carlo (HMC) usando
Rstan. El modelo propuesto también permite identificar posibles factores determinantes
de la prevalencia de la anemia infantil y tiene el propósito de mejorar las políticas públicas
dirigidas a la reducción de la anemia en el país.",2021-03-29
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Endpoint-inflated beta-binomial regression for correlated count data,"Fazio Luna, Boris Manuel",Magíster en Estadística,"Sal y Rosas Celi, Víctor Giancarlo","The endpoint-inflated binomial regression model provides a way of modeling bounded
count data with a high proportion of observations at the endpoints. We extended the model
by considering an ordered logit link which exploits the natural ordering in the inflation
probabilities and explore the utility of random effects and marginalization for dealing with
repeated measures. We use a dataset previously analyzed in the literature with an endpointinflated binomial regression using a softmax link to show our model achieves an improved fit.",2021-03-29
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Aplicación del modelo de espacio de estados con errores correlacionados a la tasa de desempleo en Perú,"Visa Flores, Rafael",Magíster en Estadística,"Sikov, Anna","En este trabajo se presenta los modelos de espacio de estados con errores correlacionados,
propuesto por Pfeffermann y Tiller (2006), aplicado a datos reales de la tasa de desempleo
para Lima Metropolitana, cuya información es recolectada mediante la Encuesta Permanente
del Empleo - EPE por el Instituto Nacional de Estadística e Informática. Estos modelos
permiten dar tratamiento a series de tiempo con errores de medición correlacionados, la
estimación de los componentes del modelo se realiza mediante el algoritmo recursivo de
Pfeffermann y Tiller, y cuando los errores son independientes se utiliza el algoritmo recursivo
del filtro de Kalman. Se realizó un estudio de simulación con series de tiempo con errores correlacionados con
el objetivo de comparar las predicciones obtenidas con el algoritmo del filtro de Kalman y el
algoritmo de Pfeffermann y Tiller, resultando este último con menores errores de predicción. Con la finalidad de comparar la aplicación del modelo de espacio de estados con errores
correlacionados con una metodología muy conocida como el desarrollado por Box and Jenkins,
se ajustó los datos de la tasa de desempleo a un modelo ARIMA, se comparó las predicciones
de ambos modelos con las verdaderas observaciones, donde los errores de las predicciones
fueron similares, sin embargo, el menor error cuadrático medio se obtuvo con el modelo de
espacio de estados con errores correlacionados.",2021-02-25
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelamiento del tiempo a la ocurrencia de un evento con tiempos discretos,"Huertas Quispe, Anthony Enrique",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","En este trabajo de tesis, se plantea estudiar el tiempo a la ocurrencia de un evento en un proceso discreto. Para ello, se considera un modelo mixtura de fracción de cura sobre una población segmentada en dos tipos de individuos: sujetos curados, o también denominados sobrevivientes a largo plazo, haciendo referencia a aquellos sujetos que no alcanzarán el evento de interés en estudio; y sujetos no curados, o también denominados sujetos susceptibles, quienes en un tiempo específico, experimentarán dicho evento de interés. Los objetivos principales de esta tesis, son el de estimar la fracción de cura, la cual está definida como la proporción de individuos curados al final del estudio, y estimar el tiempo de falla para los individuos susceptibles, entendiéndose como el tiempo a la ocurrencia del evento. Este análisis se llevará a cabo con la presencia de covariables y datos censurados, siendo la simulación e inferencia de los datos efectuados vía el software estadístico R, en donde los procesos de simulación abordarán distintos escenarios para evaluar la performance del modelo propuesto.",2021-01-18
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Métodos de selección de variables bajo el enfoque bayesiano para el modelo lineal normal,"Blas Oyola, Sthip Frank",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","En muchos casos prácticos, al realizar un análisis de regresión, se cuenta con un gran
número de potenciales variables explicativas de las cuáles sólo algunas serán importantes para explicar la variable respuesta. Por lo tanto, un problema importante para la construcción de un modelo de regresión es encontrar un adecuado conjunto de variables explicativas. A los métodos que lidian con este problema se les denomina métodos de selección de variables. En el presente proyecto de tesis, se estudiarán tres métodos de selección de variables bajo inferencia bayesiana para el modelo de regresión lineal normal los cuales fueron propuestos por George y McCulloch (1993), Kuo y Mallick (1998) y Dellaportas et al. (2002). Estos métodos, a diferencia de los métodos tradicionales, consideran la selección de variables dentro del mismo modelo, por ejemplo, introduciendo variables latentes que indiquen la presencia o ausencia de una variable explicativa. Se realizaron comparaciones de estos métodos bayesianos con los métodos Lasso y Stepwise por ser los más tradicionales. A través de un estudio con datos simulados, en diversos escenarios se observa que los métodos bayesianos permiten una adecuada selección de las variables explicativas. Adicionalmente se presentan los resultados de una aplicación con datos reales.",2021-01-18
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Sistema de tarifación bonus-malus para la rama de seguros de automóvil,"Vivanco Ortiz, Yoshi Abel",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","En la actualidad, las empresas aseguradoras cuentan con productos de seguros
cada vez más personalizados a las características de sus asegurados, de modo que,
cada asegurado no pague el mismo monto de prima sino un monto proporcional a su
comportamiento y perfil de riesgo. Una de las formas de atender esta necesidad de
personalización en la tarifación es el Sistema Bonus-Malus (SBM), el cual ajusta una
prima base considerando la historia de siniestros reportados por cada asegurado. En
ese sentido, una historia sin siniestros crea bonificaciones (bonus) y por ende una
reducción en la prima de seguro; y, una historia con siniestros genera penalizaciones
(malus) y por ende un incremento en la prima de seguro. Por tanto, el objetivo de
esta tesis es aplicar los modelos SBM basados en la frecuencia para un seguro de
tipo vehicular. Para ello, en base a la información disponible de los asegurados, se
construye un modelo de frecuencia de siniestros usando un GLM (Poisson, Binomial
Negativa y sus variantes inflacionadas en ceros), cada modelo permite obtener
una prima base y clases de riesgo basados en características heterogéneas. Luego,
se comparan todos los modelos obtenidos para seleccionar el mejor ajuste para los
datos analizados. Por u´ltimo, se aplica el SBM y se determina en qué nivel se clasifica
a cada asegurado en función al número de siniestros que reporte en el periodo
de análisis, de esa manera, se determina el valor de la prima ajustada para cada
asegurado. En resumen, este trabajo desarrolla un SBM con información a priori y a
posteriori que permite obtener primas más justas para los asegurados de un producto
de seguros vehiculares, de modo que, el asegurado que presente un comportamiento
sin siniestros reportados pagará menos que un asegurado que presente siniestros en
el periodo evaluado.",2021-01-18
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo de supervivencia de larga duración con riesgos proporcionales y estimación del riesgo base vía splines: modelamiento de abandono de seguros,"Mattos Galarza, Hector",Magíster en Estadística,"Sal y Rosas Celi, Víctor Giancarlo","Survival models, those that are focused on trying to describe the time before the ocurrence of one
or more events, have demonstrated great versatility in their capacity to model various types of events
and a further reach than initially proposed. Its application encompasses from medical trials to uses in
financial activities like assets risk management, among others. This work focuses in the analysis of
the time of a customer until their decision of termination of an insurance policy. In this application,
only a fraction of the population are prone to terminate their contract and, in this sense, it is needed
that the model have a certain degree of flexibility of assuming that not all the clients are susceptible
to this event. A long-term proportional hazard model is proposed in this work with base risk function
modeled via monotone splines. This work starts with the model definition, the parameters estimation
process, simulation scenarios where the estimation and inference process performance is evaluated and
finally an application to study the associated factors with the churn process for an insurance company
in Perú.",2021-01-12
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Jointly modelling of cluster dependent pro les of fractional and binary variables from a Bayesian point of view,"Cortés Tejada, Fernando Javier",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","The following thesis proposes classi cation models that consist of jointly  tting longitudinal
pro les of mixed fractional and binary variables modelled by zero-one beta in
ated mixed
regressions with cluster formation. The distinct proposed parametrizations allow di erent effects
to be modelled, such as modelling the marginal mean directly through independent
variables and easily interpret its e ect on it or modelling the conditional mean and the in-

ation probabilities separately. In addition, individuals with similar fractional longitudinal
pro les are grouped into a cluster through a latent variable, assuming that the response variables
follow a  nite mixture model. Due to the complexity of the models, the parameters are
estimated from a Bayesian point of view by simulating a MCMC using JAGS software in R.
The proposed models are  tted in various simulated datasets and are compared against other
models to measure performance in  tting fractional longitudinal pro les and binary variables.
Finally, an application on real data is conducted, consisting on longitudinal information of
credit card utilization ratio and default status as dependants variables and covariates corresponding
to client information, aiming to obtain clusters of clients with similar behaviour in
evolution of credit card utilization and relate them to their probability of default.",2020-10-27
Pontificia Universidad Católica del Perú. Escuela de Posgrado,"Regresión espacial cuantílica para variables acotadas entre (0,1)","García Céspedes, Carlos Jeffer",Magíster en Estadística,"Quiroz Cornejo, Zaida Jesús","El Perú es un país emergente donde el desarrollo se centra en algunas ciudades y distritos específicos. Esto conlleva a mucha desigualdad económica por ello resulta importante dar seguimiento a la incidencia de pobreza en el país. De acuerdo al nivel de precariedad, la pobreza puede considerarse extrema o no extrema. En este contexto, estudiamos la incidencia de pobreza no extrema a través de un modelo de regresión cuantílica espacial a nivel distrital en la provincia de Lima utilizando la distribución de Kumaraswamy combinada con un efecto espacial intrínseco condicional autorregresivo (ICAR). Para tratar y evaluar la posible confusión espacial entre los efectos espaciales y las covariables de efectos fijos, se considera, también, el enfoque SPOCK (Spatial Orthogonal Centroid \K""orrection). Nuestros modelos pertenecen a la clase de modelos jerárquicos, para los cuales la inferencia se puede realizar utilizando el método de Monte Carlo Hamiltoniano. Por lo tanto, el modelo es computacionalmente factible para grandes conjuntos de datos, puede describir puntos extremos de la distribución de la incidencia de pobreza no extrema e identificar qué factores son importantes en las colas de la distribución de los datos.",2020-10-26
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Extensión al modelo DINA reparametrizado con covariable,"Sáenz Egúsquiza, Miguel Angel",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","En el campo educacional, cuando los estudiantes resuelven problemas su habilidad en un tema particular puede influir en el desempeño de los mismos en un área de estudio similar pero diferente. Por ejemplo, la habilidad en ciencias podría tener un efecto en su dominio sobre las matemáticas, lo que a su vez afectará la forma en que los evaluados responden a las preguntas o ítems sobre matemáticas de una prueba. Por tanto, resulta natural examinar la relación entre el rendimiento en un área particular de estudio y el dominio de los atributos en un tema relacionado. Los modelos de diagnóstico cognitivo (CDM) proporcionan un marco ideal para realizar un análisis de este tipo, ya que clasifican a los examinados en perfiles de atributos que indican su dominio en las habilidades delimitadas permitiendo obtener información más específica con respecto a sus fortalezas y debilidades. Los CDM resuelven varias limitaciones de los métodos clásicos y los modelos de teoría de respuesta a ítems unidimensionales (TRI).
Para este estudio se amplía el marco de DINA al incorporar una covariable en un modelo de DINA reparametrizado. La covariable se puede especificar en dos niveles: en el nivel inferior, afectando la forma en que los evaluados resuelven los ítems (es decir, la probabilidad de respuesta), y en el nivel superior, influenciando en el dominio de los atributos (es decir, la clasificación latente). En esta tesis, se desarrolla teóricamente el modelo indicado desde el enfoque clásico. Para la estimación desarrollaremos el método de máxima verosimilitud y el método de la moda a posteriori vía el algoritmo de Esperanza-Maximización (EM) y de Newton-Raphson. Para tal fin, se realiza 4 estudios de simulación con la finalidad de observar en primer lugar el efecto de la covariable cuando afecta simultáneamente a los ítems y a los atributos, luego cuando la covariable afecta por separado a ambos, y también cuando la covariable no los afecta. Finalmente, se muestra su aplicación en la evaluación de la prueba de admisión a una Universidad.",2020-10-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo bayesiano geoestadístico beta-inflacionado utilizando NNGP con aplicación a datos de cobertura forestal,"Barriga Pozada, Alfonso Carlos Cesar",Magíster en Estadística,"Quiroz Cornejo, Zaida Jesús","In this thesis, we propose a new geostatistical beta inflated zero-one model using
NNGP (Nearest Neighbor Gaussian Process). The main advantage of using NNGP in
the modeling of spatial effects is the reduction of the large computing time it takes to
model a Gaussian process since it does not need to work with all the neighbors, but
only with a small group. The estimation of the parameters is done from a bayesian
perspective since the posterior distribution does not have a known shape. In addition,
a simulation studywas carried out inwhich testswere donewith different amounts of
neighborstoevaluateintermsofRMSEandcomputational timethegaininthemodels
whenaddingmore neighbors.Finally, the proportionof forest cover inHiroshimawas
modeled using the developed geostatistical model, obtaining good results.",2020-09-29
